Type,Location,Bedrooms,Bathrooms,Floor,Floors Area,Lot Area,Garage,Garden,Pet Friendly,Reservation Fee,Price
Townhouse,Las Pinas City,2,1,2,67,52,1,no,yes,20000,3900000
Townhouse,Las Pinas City,2,2,2,78,24,1,no,no,20000,3250000
Townhouse,Paranaque City,2,2,2,42,60,1,yes,yes,20000,3753000
House and Lot,Las Pinas City,2,2,2,94.81,51,1,no,yes,50000,4915000
Townhouse,Las Pinas City,2,2,2,94,56,1,yes,yes,50000,4990000
House and Lot,Muntinlupa City,2,2,2,46,30,1,no,yes,20000,2580000
Townhouse,Caloocan City,3,2,2,79,74,1,no,no,0,4450000
House and Lot,Marikina City,3,2,2,82,46,1,yes,yes,0,4300000
Townhouse,Las Pinas City,2,2,2,53,50,1,yes,yes,20000,3547000
Townhouse,Las Pinas City,2,2,2,46,39,1,no,yes,20000,3340000
Townhouse,Las Pinas City,2,2,2,48,46,1,yes,yes,0,3850000
Townhouse,Las Pinas City,2,2,2,42,33,1,yes,yes,20000,2937000
House and Lot,Paranaque City,2,2,2,75,50,1,yes,yes,100000,4300000
House and Lot,Quezon City,3,2,2,70,66,1,yes,yes,50000,4400000
House and Lot,Las Pinas City,2,2,2,78.8,65,1,no,no,20000,4600000
House and Lot,Las Pinas City,2,2,2,95,51,1,yes,yes,50000,4915000
Townhouse,Paranaque City,2,2,2,47,33,1,yes,yes,20000,3314000
Townhouse,Las Pinas City,2,2,2,49,71,1,no,no,20000,4414000
House and Lot,Las Pinas City,2,2,2,95,51,1,no,yes,50000,4915000
Townhouse,Las Pinas City,2,2,2,98.07,56,1,no,no,50000,3994000
House and Lot,Las Pinas City,2,1,2,67,52,1,yes,yes,0,3900000
House and Lot,Las Pinas City,2,2,2,46,39,1,no,yes,20000,3340000
Townhouse,Las Pinas City,2,2,2,42,38,1,no,no,20000,3153000
House and Lot,Las Pinas City,2,2,2,49,71,1,no,yes,20000,4414000
House and Lot,Marikina City,3,2,2,88.91,53.66,1,yes,yes,25000,4961000
Townhouse,Las Pinas City,4,2,2,78,58.44,1,yes,yes,30000,4987000
Townhouse,Las Pinas City,2,2,2,48,67,1,no,yes,20000,3784000
Townhouse,Quezon City,2,2,2,63.94,56,1,yes,yes,0,3664526
House and Lot,Las Pinas City,3,2,2,85.5,77,1,no,no,50000,4550000
Townhouse,Las Pinas City,2,2,2,94,56,1,yes,yes,0,4900000
House and Lot,Las Pinas City,2,2,2,94.81,55,1,yes,yes,50000,4970000
House and Lot,Las Pinas City,2,2,2,42,33,1,yes,yes,20000,2937000
House and Lot,Las Pinas City,2,2,2,95,51,1,no,yes,50000,4915000
Townhouse,Las Pinas City,2,1,2,67,52,1,no,no,0,3900000
House and Lot,Las Pinas City,2,2,2,48,66,1,yes,yes,20000,3753000
House and Lot,Marikina City,3,2,2,88.91,53.66,1,yes,yes,25000,4961000
Townhouse,Las Pinas City,4,2,2,78,58.44,1,yes,yes,30000,4987000
Townhouse,Las Pinas City,2,2,2,48,67,1,no,yes,20000,3784000
